model,retrieval,chunk,top_k,status
smollm2:135m,BM25,T256_O64,1,COMPLETED
smollm2:135m,VEC,T256_O64,1,COMPLETED
smollm2:135m,BM25,T256_O64,2,COMPLETED
smollm2:135m,VEC,T256_O64,2,COMPLETED
smollm2:135m,BM25,T256_O64,3,COMPLETED
smollm2:135m,VEC,T256_O64,3,COMPLETED
smollm2:135m,BM25,T256_O64,1,COMPLETED
smollm2:135m,VEC,T256_O64,1,COMPLETED
smollm2:135m,BM25,T256_O64,2,COMPLETED
smollm2:135m,VEC,T256_O64,2,COMPLETED
smollm2:135m,BM25,T256_O64,3,COMPLETED
smollm2:135m,VEC,T256_O64,3,COMPLETED
smollm2:135m,BM25,T512_O128,1,COMPLETED
smollm2:135m,VEC,T512_O128,1,COMPLETED
smollm2:135m,BM25,T256_O64,1,COMPLETED
smollm2:135m,VEC,T256_O64,1,COMPLETED
smollm2:135m,BM25,T256_O64,2,COMPLETED
smollm2:135m,VEC,T256_O64,2,COMPLETED
smollm2:135m,BM25,T256_O64,3,COMPLETED
smollm2:135m,VEC,T256_O64,3,COMPLETED
smollm2:135m,BM25,T512_O128,1,COMPLETED
smollm2:135m,VEC,T512_O128,1,COMPLETED
smollm2:135m,BM25,T512_O128,2,COMPLETED
smollm2:135m,BM25,W100,2,COMPLETED
smollm2:135m,VEC,W100,2,COMPLETED
smollm2:135m,BM25,W100,3,COMPLETED
smollm2:135m,VEC,W100,3,COMPLETED
qwen2.5:0.5b,BM25,W100,2,COMPLETED
qwen2.5:0.5b,VEC,W100,2,COMPLETED
qwen2.5:0.5b,BM25,W100,3,COMPLETED
qwen2.5:0.5b,VEC,W100,3,COMPLETED
qwen2.5:7b,BM25,W100,2,COMPLETED
qwen2.5:7b,VEC,W100,2,COMPLETED
qwen2.5:7b,BM25,W100,3,COMPLETED
qwen2.5:7b,VEC,W100,3,COMPLETED
